Обнаружены следующие ошибки:
Объект - Строка - 57; наименование - Чебупели Foodgital 0,25кг ТМ Горячая штучка  ПОКОМ в количестве 14 НЕ НАЙДЕН.
нет в бланке

##################################################

Перенос данных из Строка - 3; наименование - Готовые бельмеши сочные с мясом ТМ Горячая штучка 0,3кг зам  ПОКОМ ==> 
	Строка - 83; наименование - Снеки «Бельмеши сочные с мясом» Фикс.вес 0,3 Пакет ТМ «Горячая штучка», в количестве 14
Перенос данных из Строка - 4; наименование - Готовые чебупели острые с мясом Горячая штучка 0,3 кг зам  ПОКОМ ==> 
	Строка - 94; наименование - Снеки «Чебупели острые» Фикс.вес 0,3 Пакет ТМ «Горячая штучка», в количестве 56
Перенос данных из Строка - 5; наименование - Готовые чебупели с ветчиной и сыром Горячая штучка 0,3кг зам  ПОКОМ ==> 
	Строка - 95; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупели/Снеки/P004584/","Снеки «Чебупели с ветчиной и сыром» Фикс.вес 0,3 Пакет ТМ «Горячая штучка»"), в количестве 126
Перенос данных из Строка - 6; наименование - Готовые чебупели сочные с мясом ТМ Горячая штучка  0,3кг зам  ПОКОМ ==> 
	Строка - 97; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупели/Снеки/P004605/","Снеки «Чебупели сочные с мясом» Фикс.вес 0,3 Пакет ТМ «Горячая штучка»"), в количестве 56
Перенос данных из Строка - 7; наименование - Готовые чебуреки с мясом ТМ Горячая штучка 0,09 кг флоу-пак ПОКОМ ==> 
	Строка - 104; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебуреки ГШ/Чебуреки/P004138/","Чебуреки с мясом Базовый ассортимент Штучка 0,09 Пленка Горячая штучка"), в количестве 14
Перенос данных из Строка - 11; наименование - Круггетсы с сырным соусом ТМ Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 137; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Круггетсы/Снеки/P004095/","«Круггетсы с сырным соусом» Фикс.вес 0,25 ф/п ТМ «Горячая штучка»"), в количестве 70
Перенос данных из Строка - 12; наименование - Круггетсы сочные ТМ Горячая штучка ТС Круггетсы 0,25 кг зам  ПОКОМ ==> 
	Строка - 138; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Круггетсы/Снеки/P004097/","Снеки «Круггетсы Сочные» Фикс.вес 0,25 ф/п ТМ «Горячая штучка»"), в количестве 112
Перенос данных из Строка - 14; наименование - Мини-сосиски в тесте 3,7кг ВЕС заморож. ТМ Зареченские  ПОКОМ ==> 
	Строка - 297; наименование - Снеки «Мини-сосиски в тесте» Весовые ТМ «Зареченские» 3,7 кг, в количестве 42
Перенос данных из Строка - 17; наименование - Наггетсы из печи 0,25кг ТМ Вязанка ТС Няняггетсы Сливушки замор.  ПОКОМ ==> 
	Строка - 185; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Вязанка/Сливушка/Наггетсы/P004497/","Наггетсы «из печи» Фикс.вес 0,25 ТМ «Вязанка»"), в количестве 196
Перенос данных из Строка - 18; наименование - Наггетсы Нагетосы Сочная курочка ТМ Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 29; наименование - Наггетсы «Нагетосы Сочная курочка» Фикс.вес 0,25 ТМ «Горячая штучка», в количестве 252
Перенос данных из Строка - 19; наименование - Наггетсы с индейкой 0,25кг ТМ Вязанка ТС Няняггетсы Сливушки НД2 замор.  ПОКОМ ==> 
	Строка - 184; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Вязанка/Сливушка/Наггетсы/P004496/","Наггетсы «с индейкой» Фикс.вес 0,25 ТМ «Вязанка»"), в количестве 126
Перенос данных из Строка - 20; наименование - Наггетсы с куриным филе и сыром ТМ Вязанка 0,25 кг ПОКОМ ==> 
	Строка - 186; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Вязанка/Сливушка/Наггетсы/P004535/","Наггетсы «с куриным филе и сыром» Фикс.вес 0,25 ТМ «Вязанка»"), в количестве 98
Перенос данных из Строка - 21; наименование - Наггетсы Хрустящие 0,3кг ТМ Зареченские  ПОКОМ ==> 
	Строка - 286; наименование - Наггетсы «Хрустящие» Фикс.вес 0,3 ф/п ТМ «Зареченские», в количестве 18
Перенос данных из Строка - 22; наименование - Наггетсы Хрустящие ТМ Зареченские. ВЕС ПОКОМ ==> 
	Строка - 285; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Наггетсы/P003486/","Наггетсы «Хрустящие» Весовые ТМ «Зареченские» 6 кг"), в количестве 24
Перенос данных из Строка - 23; наименование - Пекерсы с индейкой в сливочном соусе ТМ Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 143; наименование - Снеки «Пекерсы с индейкой в сливочном соусе» Фикс.вес 0,25 Пакет ТМ «Горячая штучка», в количестве 14
Перенос данных из Строка - 24; наименование - Пельмени Grandmeni с говядиной и свининой 0,7кг ТМ Горячая штучка  ПОКОМ ==> 
	Строка - 36; наименование - Пельмени «Grandmeni с говядиной и свининой» Фикс.вес 0,7 классическая форма ТМ «Горячая штучка», в количестве 12
Перенос данных из Строка - 27; наименование - Пельмени Бигбули с мясом ТМ Горячая штучка. флоу-пак сфера 0,4 кг. ПОКОМ ==> 
	Строка - 47; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бигбули ГШ/Пельмени/P004443/","Пельмени «Бигбули с мясом» 0,4 Сфера ТМ «Горячая штучка»"), в количестве 12
Перенос данных из Строка - 28; наименование - Пельмени Бигбули с мясом ТМ Горячая штучка. флоу-пак сфера 0,7 кг ПОКОМ ==> 
	Строка - 49; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бигбули ГШ/Пельмени/P004442/","Пельмени «Бигбули с мясом» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 96
Перенос данных из Строка - 31; наименование - Пельмени Бульмени мини с мясом и оливковым маслом 0,7 кг ТМ Горячая штучка  ПОКОМ ==> 
	Строка - 111; наименование - Пельмени «Бульмени мини с мясом и оливковым маслом» Фикс.вес 0,7 сфера ТМ «Горячая штучка», в количестве 72
Перенос данных из Строка - 33; наименование - Пельмени Бульмени с говядиной и свининой Наваристые 2,7кг Горячая штучка ВЕС  ПОКОМ ==> 
	Строка - 77; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени вес ГШ/Пельмени/P003687/","Пельмени «Бульмени с говядиной и свининой Наваристые» Весовые Сфера ТМ «Горячая штучка» 2,7 кг"), в количестве 36
Перенос данных из Строка - 34; наименование - Пельмени Бульмени с говядиной и свининой Наваристые 5кг Горячая штучка ВЕС  ПОКОМ ==> 
	Строка - 78; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени вес ГШ/Пельмени/P003697/","Пельмени «Бульмени с говядиной и свининой Наваристые» Весовые Сфера ТМ «Горячая штучка» 5 кг"), в количестве 156
Перенос данных из Строка - 36; наименование - Пельмени Бульмени с говядиной и свининой ТМ Горячая штучка. флоу-пак сфера 0,7 кг ПОКОМ ==> 
	Строка - 114; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004345/","Пельмени «Бульмени с говядиной и свининой» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 204
